"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"TÈtracycline;""03"";343;""63.8"";""58.5"";""68.9"";""en-dessous"""
"TÈtracycline;""85"";72;""76.4"";""64.9"";""85.6"";""dans la moyenne"""
"TÈtracycline;""19"";73;""74"";""62.4"";""83.5"";""dans la moyenne"""
"TÈtracycline;""73"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""58"";67;""74.6"";""62.5"";""84.5"";""dans la moyenne"""
"TÈtracycline;""76"";48;""89.6"";""77.3"";""96.5"";""au-dessus"""
"TÈtracycline;""40"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""18"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""70"";21;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""86"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""87"";114;""65.8"";""56.3"";""74.4"";""dans la moyenne"""
"TÈtracycline;""81"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""01"";72;""84.7"";""74.3"";""92.1"";""dans la moyenne"""
"TÈtracycline;""16"";23;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""71"";121;""73.6"";""64.8"";""81.2"";""dans la moyenne"""
"TÈtracycline;""42"";112;""76.8"";""67.9"";""84.2"";""dans la moyenne"""
"TÈtracycline;""79"";45;""66.7"";""51"";""80"";""dans la moyenne"""
"TÈtracycline;""29"";84;""79.8"";""69.6"";""87.7"";""dans la moyenne"""
"TÈtracycline;""72"";28;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""80"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""15"";104;""72.1"";""62.5"";""80.5"";""dans la moyenne"""
"TÈtracycline;""50"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""23"";149;""70.5"";""62.5"";""77.7"";""dans la moyenne"""
"TÈtracycline;""45"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""56"";56;""82.1"";""69.6"";""91.1"";""dans la moyenne"""
"TÈtracycline;""12"";194;""61.9"";""54.6"";""68.7"";""en-dessous"""
"TÈtracycline;""NR"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""62"";17;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""17"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""46"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""39"";101;""90.1"";""82.5"";""95.1"";""au-dessus"""
"TÈtracycline;""10"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""61"";136;""77.2"";""69.2"";""84"";""dans la moyenne"""
"TÈtracycline;""49"";150;""69.3"";""61.3"";""76.6"";""dans la moyenne"""
"TÈtracycline;""65"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""55"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""59"";54;""83.3"";""70.7"";""92.1"";""dans la moyenne"""
"TÈtracycline;""54"";18;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""02"";30;""86.7"";""69.3"";""96.2"";""dans la moyenne"""
"TÈtracycline;""27"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""63"";95;""76.8"";""67.1"";""84.9"";""dans la moyenne"""
"TÈtracycline;""22"";173;""79.8"";""73"";""85.5"";""dans la moyenne"""
"TÈtracycline;""82"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""26"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""48"";11;""-"";""-"";""-"";""< ‡ 30 atbg"""
