"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"TrimÈthoprime-sulfamides;""67"";14;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""14"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""39"";92;""41.3"";""31.1"";""52.1"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""82"";16;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""53"";116;""47.4"";""38.1"";""56.9"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""08"";39;""51.3"";""34.8"";""67.6"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""35"";294;""37.1"";""31.5"";""42.9"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""55"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""42"";141;""41.8"";""33.6"";""50.4"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""80"";16;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""43"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""38"";32;""46.9"";""29.1"";""65.3"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""85"";121;""37.2"";""28.6"";""46.4"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""57"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""49"";48;""45.8"";""31.4"";""60.8"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""48"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""21"";131;""42"";""33.4"";""50.9"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""10"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""15"";102;""32.4"";""23.4"";""42.3"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""23"";138;""54.3"";""45.7"";""62.8"";""au-dessus"""
"TrimÈthoprime-sulfamides;""63"";57;""33.3"";""21.4"";""47.1"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""29"";59;""28.8"";""17.8"";""42.1"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""50"";241;""30.7"";""24.9"";""36.9"";""en-dessous"""
"TrimÈthoprime-sulfamides;""12"";115;""33"";""24.6"";""42.4"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""90"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""74"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""81"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""56"";41;""31.7"";""18.1"";""48.1"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""88"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""37"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""87"";123;""38.2"";""29.6"";""47.4"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""73"";33;""39.4"";""22.9"";""57.9"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""36"";11;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""69"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""72"";32;""28.1"";""13.7"";""46.7"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""89"";25;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""22"";120;""40.8"";""32"";""50.2"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""31"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""24"";57;""31.6"";""19.9"";""45.2"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""19"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""25"";156;""44.9"";""36.9"";""53"";""dans la moyenne"""
"TrimÈthoprime-sulfamides;""60"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""18"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""05"";22;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""26"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""79"";18;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""59"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""51"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""09"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TrimÈthoprime-sulfamides;""16"";28;""-"";""-"";""-"";""< ‡ 30 atbg"""
